Generic Name,Brand_Name,Drug_class,Indication , Dosage,renal_adjustment,renal_adjustment_dose,Administration,Preparation_for_administration ,Storage_Stability
Ampicillin,,Antibiotic,Endocarditis, treatment 200 to 300 mg/kg/day divided every 4 to 6 hours; maximum daily dose: 12 g/day,yes,GFR 30 to 50 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 6 hours     ,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic,Endocarditis, treatment 200 to 300 mg/kg/day divided every 4 to 6 hours; maximum daily dose: 12 g/day,yes, GFR 10 to 29 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 8 to 12 hours      ,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic,Endocarditis, treatment 200 to 300 mg/kg/day divided every 4 to 6 hours; maximum daily dose: 12 g/day,yes,GFR <10 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 12 hours,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic,Meningitis,  300 to 400 mg/kg/day divided every 4 to 6 hours; maximum daily dose: 12 g/day ,yes,GFR 30 to 50 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 6 hours   ,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic,Meningitis,  300 to 400 mg/kg/day divided every 4 to 6 hours; maximum daily dose: 12 g/day ,yes,   GFR 10 to 29 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 8 to 12 hours      ,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic,Meningitis,  300 to 400 mg/kg/day divided every 4 to 6 hours; maximum daily dose: 12 g/day ,yes, GFR <10 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 12 hours,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic,S. pneumoniae, 300 to 400 mg/kg/day divided every 6 hours.,yes,GFR 30 to 50 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 6 hours,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic,S. pneumoniae, 300 to 400 mg/kg/day divided every 6 hours.,yes, GFR 10 to 29 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 8 to 12 hours   ,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic,S. pneumoniae, 300 to 400 mg/kg/day divided every 6 hours.,yes,  GFR <10 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 12 hours,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic, Pneumonia, 150 to 200 mg/kg/day divided every 6 hours,yes,GFR 30 to 50 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 6 hours,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
